,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
94846,STATE - KARNATAKA,Manufacture of wines,48,24,24,36,12,24,12,12,0,14,8,6,8,2,6,6,6,0,62,1,22.65423406060606,82.20022463636361
94847,STATE - KARNATAKA,Manufacture of malt liquors and malt,309,166,143,198,84,114,111,82,29,15,9,6,6,6,0,9,3,6,324,1.1608391608391608,22.65423406060606,82.20022463636361
94848,STATE - KARNATAKA,Manufacture of soft drinks; production of mineral waters and other,887,673,214,436,301,135,451,372,79,107,78,29,57,33,24,50,45,5,994,3.1448598130841123,22.65423406060606,82.20022463636361
94849,STATE - KARNATAKA,Manufacture of textiles,24455,14798,9657,12790,7288,5502,11665,7510,4155,8227,3987,4240,5574,2500,3074,2653,1487,1166,32682,1.5323599461530495,22.65423406060606,82.20022463636361
94850,STATE - KARNATAKA,"Spinning, weaving and finishing of textiles",20205,12821,7384,10047,6125,3922,10158,6696,3462,6692,3608,3084,4483,2276,2207,2209,1332,877,26897,1.7363217768147343,22.65423406060606,82.20022463636361
94851,STATE - KARNATAKA,Preparation and spinning of textile fibres,9719,5955,3764,5351,3222,2129,4368,2733,1635,5138,2774,2364,3579,1827,1752,1559,947,612,14857,1.5820935175345376,22.65423406060606,82.20022463636361
94852,STATE - KARNATAKA,Weaving of textiles,7842,5312,2530,3474,2261,1213,4368,3051,1317,1073,597,476,637,346,291,436,251,185,8915,2.099604743083004,22.65423406060606,82.20022463636361
94853,STATE - KARNATAKA,Finishing of textiles,2644,1554,1090,1222,642,580,1422,912,510,481,237,244,267,103,164,214,134,80,3125,1.4256880733944954,22.65423406060606,82.20022463636361
94854,STATE - KARNATAKA,Manufacture of other textiles,4250,1977,2273,2743,1163,1580,1507,814,693,1535,379,1156,1091,224,867,444,155,289,5785,0.8697756269247691,22.65423406060606,82.20022463636361
94855,STATE - KARNATAKA,Manufacture of knitted and crocheted fabrics,25,12,13,17,9,8,8,3,5,44,28,16,44,28,16,0,0,0,69,0.9230769230769232,22.65423406060606,82.20022463636361
94856,STATE - KARNATAKA,"Manufacture of made-up textile articles, except apparel",927,297,630,575,116,459,352,181,171,389,14,375,287,2,285,102,12,90,1316,0.4714285714285714,22.65423406060606,82.20022463636361
94857,STATE - KARNATAKA,Manufacture of carpets and rugs,397,195,202,183,70,113,214,125,89,148,67,81,64,33,31,84,34,50,545,0.9653465346534652,22.65423406060606,82.20022463636361
94858,STATE - KARNATAKA,"Manufacture of cordage, rope, twine and netting",2010,1050,960,1463,734,729,547,316,231,698,212,486,521,121,400,177,91,86,2708,1.09375,22.65423406060606,82.20022463636361
94859,STATE - KARNATAKA,Manufacture of other textiles n.e.c.,891,423,468,505,234,271,386,189,197,256,58,198,175,40,135,81,18,63,1147,0.903846153846154,22.65423406060606,82.20022463636361
94860,STATE - KARNATAKA,Manufacture of articles of fur,77,64,13,58,52,6,19,12,7,0,0,0,0,0,0,0,0,0,77,4.923076923076923,22.65423406060606,82.20022463636361
94861,STATE - KARNATAKA,Manufacture of articles of fur,77,64,13,58,52,6,19,12,7,0,0,0,0,0,0,0,0,0,77,4.923076923076923,22.65423406060606,82.20022463636361
94862,STATE - KARNATAKA,Manufacture of knitted and crocheted apparel,51,51,0,24,24,0,27,27,0,10,4,6,8,2,6,2,2,0,61,51,22.65423406060606,82.20022463636361
94863,STATE - KARNATAKA,Manufacture of knitted and crocheted apparel,51,51,0,24,24,0,27,27,0,10,4,6,8,2,6,2,2,0,61,51,22.65423406060606,82.20022463636361
94864,STATE - KARNATAKA,Manufacture of leather and related products,7883,6292,1591,3254,2610,644,4629,3682,947,989,663,326,589,346,243,400,317,83,8872,3.954745443117536,22.65423406060606,82.20022463636361
94865,STATE - KARNATAKA,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",754,525,229,337,240,97,417,285,132,101,58,43,60,33,27,41,25,16,855,2.2925764192139737,22.65423406060606,82.20022463636361
94866,STATE - KARNATAKA,Tanning and dressing of leather; dressing and dyeing of fur,276,198,78,150,95,55,126,103,23,27,6,21,21,6,15,6,0,6,303,2.5384615384615383,22.65423406060606,82.20022463636361
94867,STATE - KARNATAKA,"Manufacture of luggage, handbags and the like, saddlery and harness",478,327,151,187,145,42,291,182,109,74,52,22,39,27,12,35,25,10,552,2.165562913907285,22.65423406060606,82.20022463636361
94868,STATE - KARNATAKA,Manufacture of footwear,7129,5767,1362,2917,2370,547,4212,3397,815,888,605,283,529,313,216,359,292,67,8017,4.234214390602056,22.65423406060606,82.20022463636361
94869,STATE - KARNATAKA,Manufacture of footwear,7129,5767,1362,2917,2370,547,4212,3397,815,888,605,283,529,313,216,359,292,67,8017,4.234214390602056,22.65423406060606,82.20022463636361
94870,STATE - KARNATAKA,"Manufacture of wood and products of wood and cork, except furniture;",31454,21426,10028,18892,11596,7296,12562,9830,2732,6521,3582,2939,4806,2433,2373,1715,1149,566,37975,2.136617471080973,22.65423406060606,82.20022463636361
94871,STATE - KARNATAKA,Sawmilling and planing of wood,2027,1822,205,886,812,74,1141,1010,131,263,211,52,147,119,28,116,92,24,2290,8.887804878048781,22.65423406060606,82.20022463636361
94872,STATE - KARNATAKA,Saw milling and planing of wood,2027,1822,205,886,812,74,1141,1010,131,263,211,52,147,119,28,116,92,24,2290,8.887804878048781,22.65423406060606,82.20022463636361
94873,STATE - KARNATAKA,"Manufacture of products of wood, cork, straw and plaiting materials",29427,19604,9823,18006,10784,7222,11421,8820,2601,6258,3371,2887,4659,2314,2345,1599,1057,542,35685,1.9957243204723607,22.65423406060606,82.20022463636361
94874,STATE - KARNATAKA,"Manufacture of veneer sheets; manufacture of plywood, laminboard,",322,251,71,166,119,47,156,132,24,25,25,0,6,6,0,19,19,0,347,3.535211267605634,22.65423406060606,82.20022463636361
94875,STATE - KARNATAKA,Manufacture of builders carpentry and joinery,2973,2907,66,1227,1203,24,1746,1704,42,396,384,12,190,188,2,206,196,10,3369,44.04545454545455,22.65423406060606,82.20022463636361
94876,STATE - KARNATAKA,Manufacture of wooden containers,13321,6980,6341,10731,5606,5125,2590,1374,1216,3007,1319,1688,2651,1177,1474,356,142,214,16328,1.1007727487777954,22.65423406060606,82.20022463636361
94877,STATE - KARNATAKA,"Manufacture of other products of wood; manufacture of articles of cork,",12811,9466,3345,5882,3856,2026,6929,5610,1319,2830,1643,1187,1812,943,869,1018,700,318,15641,2.829895366218236,22.65423406060606,82.20022463636361
