,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
119020,STATE - TAMIL NADU,Manufacture of other food products,17282,10056,7226,8054,5046,3008,9228,5010,4218,3285,1435,1850,1964,890,1074,1321,545,776,20567,1.3916412953224466,22.65423406060606,82.20022463636361
119021,STATE - TAMIL NADU,Manufacture of bakery products,1422,1081,341,718,548,170,704,533,171,154,116,38,99,75,24,55,41,14,1576,3.1700879765395893,22.65423406060606,82.20022463636361
119022,STATE - TAMIL NADU,Manufacture of sugar,2613,2286,327,1828,1583,245,785,703,82,380,289,91,267,213,54,113,76,37,2993,6.990825688073395,22.65423406060606,82.20022463636361
119023,STATE - TAMIL NADU,"Manufacture of cocoa, chocolate and sugar confectionery",1546,1075,471,645,478,167,901,597,304,135,84,51,64,45,19,71,39,32,1681,2.282377919320594,22.65423406060606,82.20022463636361
119024,STATE - TAMIL NADU,"Manufacture of macaroni, noodles, couscous and similar farinaceous",144,76,68,39,33,6,105,43,62,43,20,23,16,8,8,27,12,15,187,1.1176470588235294,22.65423406060606,82.20022463636361
119025,STATE - TAMIL NADU,Manufacture of prepared meals and dishes,3386,1829,1557,1900,1055,845,1486,774,712,787,359,428,484,243,241,303,116,187,4173,1.1746949261400128,22.65423406060606,82.20022463636361
119026,STATE - TAMIL NADU,Manufacture of other food products n.e.c.,8171,3709,4462,2924,1349,1575,5247,2360,2887,1786,567,1219,1034,306,728,752,261,491,9957,0.8312415956969968,22.65423406060606,82.20022463636361
119027,STATE - TAMIL NADU,Manufacture of prepared animal feeds,297,232,65,175,134,41,122,98,24,46,29,17,31,18,13,15,11,4,343,3.569230769230769,22.65423406060606,82.20022463636361
119028,STATE - TAMIL NADU,Manufacture of prepared animal feeds,297,232,65,175,134,41,122,98,24,46,29,17,31,18,13,15,11,4,343,3.569230769230769,22.65423406060606,82.20022463636361
119029,STATE - TAMIL NADU,Manufacture of beverages,2871,2107,764,1605,1081,524,1266,1026,240,345,206,139,265,147,118,80,59,21,3216,2.757853403141361,22.65423406060606,82.20022463636361
119030,STATE - TAMIL NADU,Manufacture of beverages,2871,2107,764,1605,1081,524,1266,1026,240,345,206,139,265,147,118,80,59,21,3216,2.757853403141361,22.65423406060606,82.20022463636361
119031,STATE - TAMIL NADU,"Distilling, rectifying and blending of spirits; ethyl alcohol production",273,203,70,213,153,60,60,50,10,53,29,24,48,26,22,5,3,2,326,2.9,22.65423406060606,82.20022463636361
