,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
31710,STATE - MIZORAM,"Manufacture of luggage, handbags and the like, saddlery and harness",28,28,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,28,28,22.65423406060606,82.20022463636361
31711,STATE - MIZORAM,Manufacture of footwear,117,46,71,7,5,2,110,41,69,36,13,23,5,4,1,31,9,22,153,0.647887323943662,22.65423406060606,82.20022463636361
31712,STATE - MIZORAM,Manufacture of footwear,117,46,71,7,5,2,110,41,69,36,13,23,5,4,1,31,9,22,153,0.647887323943662,22.65423406060606,82.20022463636361
31713,STATE - MIZORAM,"Manufacture of wood and products of wood and cork, except furniture;",631,450,181,164,131,33,467,319,148,147,94,53,73,46,27,74,48,26,778,2.4861878453038675,22.65423406060606,82.20022463636361
31714,STATE - MIZORAM,Sawmilling and planing of wood,42,41,1,26,26,0,16,15,1,5,5,0,4,4,0,1,1,0,47,41,22.65423406060606,82.20022463636361
31715,STATE - MIZORAM,Saw milling and planing of wood,42,41,1,26,26,0,16,15,1,5,5,0,4,4,0,1,1,0,47,41,22.65423406060606,82.20022463636361
31716,STATE - MIZORAM,"Manufacture of products of wood, cork, straw and plaiting materials",589,409,180,138,105,33,451,304,147,142,89,53,69,42,27,73,47,26,731,2.272222222222222,22.65423406060606,82.20022463636361
31717,STATE - MIZORAM,Manufacture of builders carpentry and joinery,5,5,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,22.65423406060606,82.20022463636361
31718,STATE - MIZORAM,Manufacture of wooden containers,69,48,21,34,28,6,35,20,15,38,30,8,19,16,3,19,14,5,107,2.2857142857142856,22.65423406060606,82.20022463636361
31719,STATE - MIZORAM,"Manufacture of other products of wood; manufacture of articles of cork,",515,356,159,103,76,27,412,280,132,104,59,45,50,26,24,54,33,21,619,2.238993710691824,22.65423406060606,82.20022463636361
31720,STATE - MIZORAM,Manufacture of paper and paper products,22,13,9,7,6,1,15,7,8,6,4,2,0,0,0,6,4,2,28,1.4444444444444444,22.65423406060606,82.20022463636361
31721,STATE - MIZORAM,Manufacture of paper and paper products,22,13,9,7,6,1,15,7,8,6,4,2,0,0,0,6,4,2,28,1.4444444444444444,22.65423406060606,82.20022463636361
31722,STATE - MIZORAM,Manufacture of corrugated paper and paperboard and containers of,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
31723,STATE - MIZORAM,Manufacture of other articles of paper and paperboard,20,11,9,7,6,1,13,5,8,6,4,2,0,0,0,6,4,2,26,1.2222222222222223,22.65423406060606,82.20022463636361
31724,STATE - MIZORAM,Printing and reproduction of recorded media,342,201,141,8,5,3,334,196,138,28,15,13,0,0,0,28,15,13,370,1.425531914893617,22.65423406060606,82.20022463636361
31725,STATE - MIZORAM,Printing and service activities related to printing,342,201,141,8,5,3,334,196,138,28,15,13,0,0,0,28,15,13,370,1.425531914893617,22.65423406060606,82.20022463636361
31726,STATE - MIZORAM,Printing,139,91,48,4,3,1,135,88,47,18,11,7,0,0,0,18,11,7,157,1.8958333333333333,22.65423406060606,82.20022463636361
31727,STATE - MIZORAM,Service activities related to printing,203,110,93,4,2,2,199,108,91,10,4,6,0,0,0,10,4,6,213,1.1827956989247312,22.65423406060606,82.20022463636361
31728,STATE - MIZORAM,Manufacture of coke and refined petroleum products,34,30,4,16,14,2,18,16,2,8,2,6,0,0,0,8,2,6,42,7.5,22.65423406060606,82.20022463636361
31729,STATE - MIZORAM,Manufacture of coke oven products,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,22.65423406060606,82.20022463636361
31730,STATE - MIZORAM,Manufacture of coke oven products,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,22.65423406060606,82.20022463636361
31731,STATE - MIZORAM,Manufacture of refined petroleum products,30,28,2,12,12,0,18,16,2,8,2,6,0,0,0,8,2,6,38,14,22.65423406060606,82.20022463636361
31732,STATE - MIZORAM,Manufacture of refined petroleum products,30,28,2,12,12,0,18,16,2,8,2,6,0,0,0,8,2,6,38,14,22.65423406060606,82.20022463636361
31733,STATE - MIZORAM,Manufacture of chemicals and chemical products,127,79,48,29,21,8,98,58,40,40,16,24,3,3,0,37,13,24,167,1.6458333333333333,22.65423406060606,82.20022463636361
31734,STATE - MIZORAM,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics",11,11,0,0,0,0,11,11,0,3,3,0,0,0,0,3,3,0,14,11,22.65423406060606,82.20022463636361
31735,STATE - MIZORAM,Manufacture of basic chemicals,11,11,0,0,0,0,11,11,0,2,2,0,0,0,0,2,2,0,13,11,22.65423406060606,82.20022463636361
31736,STATE - MIZORAM,Manufacture of fertilizers and nitrogen compounds,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,22.65423406060606,82.20022463636361
31737,STATE - MIZORAM,Manufacture of other chemical products,116,68,48,29,21,8,87,47,40,37,13,24,3,3,0,34,10,24,153,1.4166666666666667,22.65423406060606,82.20022463636361
