,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
20397,STATE - ARUNACHAL PRADESH,Mining and quarrying n.e.c.,90,73,17,70,56,14,20,17,3,7,6,1,5,5,0,2,1,1,97,4.294117647058823,22.65423406060606,82.20022463636361
20398,STATE - ARUNACHAL PRADESH,Mining of chemical and fertilizer minerals,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,22.65423406060606,82.20022463636361
20399,STATE - ARUNACHAL PRADESH,Other mining and quarrying n.e.c.,90,73,17,70,56,14,20,17,3,6,5,1,4,4,0,2,1,1,96,4.294117647058823,22.65423406060606,82.20022463636361
20400,STATE - ARUNACHAL PRADESH,Mining support service activities,59,54,5,50,48,2,9,6,3,9,9,0,9,9,0,0,0,0,68,10.8,22.65423406060606,82.20022463636361
20401,STATE - ARUNACHAL PRADESH,Support activities for petroleum and natural gas mining,11,11,0,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,11,11,22.65423406060606,82.20022463636361
20402,STATE - ARUNACHAL PRADESH,Support activities for petroleum and natural gas mining,11,11,0,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,11,11,22.65423406060606,82.20022463636361
20403,STATE - ARUNACHAL PRADESH,Support activities for other mining and quarrying,48,43,5,40,38,2,8,5,3,9,9,0,9,9,0,0,0,0,57,8.6,22.65423406060606,82.20022463636361
20404,STATE - ARUNACHAL PRADESH,Support activities for other mining and quarrying,48,43,5,40,38,2,8,5,3,9,9,0,9,9,0,0,0,0,57,8.6,22.65423406060606,82.20022463636361
20405,STATE - ARUNACHAL PRADESH,Manufacture of food products,1351,941,410,975,643,332,376,298,78,374,185,189,275,116,159,99,69,30,1725,2.295121951219512,22.65423406060606,82.20022463636361
20406,STATE - ARUNACHAL PRADESH,Processing and preserving of meat,9,9,0,5,5,0,4,4,0,13,0,13,12,0,12,1,0,1,22,9,22.65423406060606,82.20022463636361
20407,STATE - ARUNACHAL PRADESH,Processing and preserving of meat,9,9,0,5,5,0,4,4,0,13,0,13,12,0,12,1,0,1,22,9,22.65423406060606,82.20022463636361
20408,STATE - ARUNACHAL PRADESH,"Processing and preserving of fish, crustaceans and molluscs",1,1,0,1,1,0,0,0,0,6,6,0,6,6,0,0,0,0,7,1,22.65423406060606,82.20022463636361
20409,STATE - ARUNACHAL PRADESH,"Processing and preserving of fish, crustaceans and molluscs and",1,1,0,1,1,0,0,0,0,6,6,0,6,6,0,0,0,0,7,1,22.65423406060606,82.20022463636361
20410,STATE - ARUNACHAL PRADESH,Processing and preserving of fruit and vegetables,146,112,34,84,54,30,62,58,4,58,43,15,40,26,14,18,17,1,204,3.294117647058824,22.65423406060606,82.20022463636361
20411,STATE - ARUNACHAL PRADESH,Processing and preserving of fruit and vegetables,146,112,34,84,54,30,62,58,4,58,43,15,40,26,14,18,17,1,204,3.294117647058824,22.65423406060606,82.20022463636361
20412,STATE - ARUNACHAL PRADESH,Manufacture of vegetable and animal oils and fats,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,22.65423406060606,82.20022463636361
20413,STATE - ARUNACHAL PRADESH,Manufacture of vegetable and animal oils and fats,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,22.65423406060606,82.20022463636361
20414,STATE - ARUNACHAL PRADESH,Manufacture of dairy products,156,109,47,116,83,33,40,26,14,65,26,39,54,18,36,11,8,3,221,2.3191489361702127,22.65423406060606,82.20022463636361
